"x","y","sample number","angle","30:23:03:87:17:98#WIFI-RTT","30:23:03:87:17:99#WIFI-RTT","30:23:03:87:17:9a#WIFI-RTT","58:cb:52:d7:b5:5d#WIFI-RTT","58:cb:52:d7:b5:31#WIFI-RTT","30:23:03:87:19:6e#WIFI-RTT","30:23:03:87:19:6d#WIFI-RTT","58:cb:52:d7:b4:d9#WIFI-RTT","30:23:03:87:19:6c#WIFI-RTT","58:cb:52:d7:bb:61#WIFI-RTT","30:23:03:87:17:80#WIFI-RTT","58:cb:52:d7:ad:ac#WIFI-RTT","30:23:03:87:17:81#WIFI-RTT","30:23:03:87:17:82#WIFI-RTT"
"2.0","4.8","102","0.0","-100.0","13.048","11.283","-100.0","4.923","5.424","5.191","15.109","22.732","12.379","-100.0","-100.0","1.891","-100.0","-100.0"
"2.0","4.8","103","0.0","29.607","13.088","11.268","2.42","5.045","5.463","5.126","15.015","21.945","12.298","18.669","-100.0","1.991","4.076","-100.0"
"2.0","4.8","104","0.0","29.607","12.973","11.561","2.411","5.083","5.307","5.158","15.095","22.563","12.301","18.357","-100.0","1.92","4.164","-100.0"
"2.0","4.8","105","0.0","29.445","13.082","11.473","2.42","5.189","5.404","5.282","15.156","-100.0","12.308","18.357","-100.0","2.026","4.193","-100.0"
"2.0","4.8","106","0.0","-100.0","13.141","11.283","2.389","5.114","5.365","5.135","15.109","21.795","12.223","18.969","-100.0","1.995","4.037","-100.0"
"2.0","4.8","107","0.0","29.919","13.041","11.518","2.545","5.07","5.443","5.107","15.042","22.582","12.37","18.657","-100.0","1.919","4.12","-100.0"
"2.0","4.8","108","0.0","32.895","13.16","11.415","2.501","5.036","5.521","5.069","14.931","22.226","12.379","19.057","-100.0","1.957","4.311","-100.0"
"2.0","4.8","109","0.0","29.919","13.113","11.166","2.386","5.126","5.365","5.238","15.123","22.407","12.37","18.669","-100.0","1.891","3.93","-100.0"
"2.0","4.8","110","0.0","29.295","13.091","11.298","2.467","5.008","5.365","5.082","15.02","22.882","12.383","18.819","-100.0","1.954","4.047","-100.0"
"2.0","4.8","111","0.0","29.607","13.17","11.166","2.42","5.042","5.443","5.133","15.079","21.795","12.311","18.195","-100.0","2.004","4.252","-100.0"
"2.0","4.8","112","0.0","-100.0","13.06","11.254","2.467","5.045","5.346","5.154","15.053","-100.0","12.333","-100.0","-100.0","2.004","4.193","-100.0"
"2.0","4.8","113","0.0","29.829","12.923","11.239","2.423","5.12","5.463","5.238","15.123","23.67","12.264","18.207","-100.0","1.929","5.792","-100.0"
"2.0","4.8","114","0.0","30.082","13.01","11.327","2.508","5.008","5.307","5.085","15.126","22.419","12.229","18.345","-100.0","1.891","3.724","-100.0"
"2.0","4.8","115","0.0","29.757","13.091","11.312","2.467","4.998","5.521","5.105","14.987","23.044","12.301","18.982","-100.0","2.004","4.213","-100.0"
"2.0","4.8","116","0.0","-100.0","13.091","11.327","2.417","5.045","5.424","5.105","15.025","22.419","12.264","18.507","-100.0","1.96","4.135","-100.0"
"2.0","4.8","117","0.0","29.757","13.216","11.107","2.411","5.117","5.502","5.133","14.987","22.419","12.229","18.357","-100.0","1.963","4.076","-100.0"
"2.0","4.8","118","0.0","29.757","13.141","11.342","2.454","5.158","5.15","5.129","15.043","21.169","12.189","18.935","-100.0","1.969","4.428","-100.0"
"2.0","4.8","119","0.0","30.394","13.013","11.181","2.383","5.172","5.463","5.013","15.097","-100.0","12.304","-100.0","-100.0","1.948","3.988","-100.0"
"2.0","4.8","120","0.0","29.769","12.954","11.459","2.508","5.201","5.346","5.072","15.095","22.107","12.226","18.935","-100.0","1.882","4.076","-100.0"
"2.0","4.8","121","0.0","29.769","13.095","11.459","2.464","5.042","5.404","5.132","15.02","22.882","12.373","19.132","-100.0","2.026","3.9","-100.0"
"2.0","4.8","122","0.0","29.607","13.132","11.635","2.336","5.045","5.307","5.16","15.097","-100.0","12.373","-100.0","-100.0","1.938","3.988","-100.0"
"2.0","4.8","123","0.0","30.082","13.091","11.561","2.508","4.995","5.443","5.16","14.964","-100.0","12.376","18.823","-100.0","2.06","4.135","-100.0"
"2.0","4.8","124","0.0","30.532","13.01","11.43","2.373","4.923","5.189","5.119","15.189","23.032","12.264","18.832","-100.0","2.004","3.9","-100.0"
"2.0","4.8","125","0.0","29.919","13.091","11.268","2.42","4.998","5.502","5.091","15.182","22.419","12.376","18.823","-100.0","1.882","3.842","-100.0"
"2.0","4.8","126","0.0","29.716","13.132","11.532","2.411","5.164","5.404","5.067","14.938","-100.0","12.229","-100.0","-100.0","1.966","4.31","-100.0"
"2.0","4.8","127","0.0","29.919","13.179","11.356","2.386","5.126","5.482","5.123","15.1","22.107","12.339","18.982","-100.0","2.041","4.076","-100.0"
"2.0","4.8","128","0.0","30.394","12.963","11.664","2.336","5.083","5.482","5.109","15.015","23.044","12.333","18.823","-100.0","1.969","4.34","-100.0"
"2.0","4.8","129","0.0","30.663","13.079","11.298","2.508","4.967","5.443","5.154","15.217","-100.0","12.301","-100.0","-100.0","2.038","4.135","-100.0"
"2.0","4.8","130","0.0","-100.0","-100.0","11.224","2.411","5.079","5.385","5.082","14.966","22.882","12.411","18.669","-100.0","2.004","4.135","-100.0"
"2.0","4.8","131","0.0","29.757","12.991","11.4","2.383","5.045","5.404","5.161","15.029","22.732","12.229","18.345","-100.0","2.004","4.252","-100.0"
"2.0","4.8","132","0.0","29.919","12.891","11.342","2.264","5.079","5.385","5.102","15.029","23.044","12.336","18.969","-100.0","1.938","3.9","-100.0"
"2.0","4.8","133","0.0","-100.0","12.991","11.722","2.414","-100.0","5.365","5.204","15.045","22.894","12.417","18.945","-100.0","1.891","3.724","-100.0"
"2.0","4.8","134","0.0","29.716","13.001","11.459","2.345","5.045","5.424","5.082","15.123","22.095","12.417","18.832","-100.0","1.998","4.115","-100.0"
"2.0","4.8","135","0.0","29.37","13.048","11.459","2.42","5.164","5.365","5.161","14.933","22.257","12.345","19.291","-100.0","2.004","4.076","-100.0"
"2.0","4.8","136","0.0","-100.0","13.216","11.532","2.308","-100.0","5.541","5.107","15.022","-100.0","12.336","-100.0","-100.0","1.969","-100.0","-100.0"
"2.0","4.8","137","0.0","-100.0","13.17","11.517","2.426","4.889","5.502","5.13","15.02","22.582","12.383","19.144","-100.0","1.907","4.105","-100.0"
"2.0","4.8","138","0.0","30.382","13.02","11.181","2.42","5.154","5.385","5.169","14.987","21.957","12.376","18.669","-100.0","2.038","4.135","-100.0"
"2.0","4.8","139","0.0","30.232","13.079","11.107","2.426","5.011","5.287","5.102","15.042","-100.0","12.383","-100.0","-100.0","1.976","3.988","-100.0"
"2.0","4.8","140","0.0","30.232","12.935","11.312","2.426","4.918","5.424","5.129","15.18","23.032","12.267","18.12","-100.0","1.919","3.959","-100.0"
"2.0","4.8","141","0.0","31.02","13.179","11.224","2.389","5.073","5.385","5.201","14.992","22.582","12.264","18.823","-100.0","1.957","3.959","-100.0"
"2.0","4.8","142","0.0","30.232","12.926","11.342","2.379","5.154","5.482","5.082","14.94","22.569","12.336","18.832","-100.0","1.948","5.926","-100.0"
"2.0","4.8","143","0.0","30.082","13.141","11.473","2.261","5.204","5.326","5.21","15.041","22.107","12.314","18.982","-100.0","2.032","4.146","-100.0"
"2.0","4.8","144","0.0","-100.0","13.091","11.166","2.342","5.114","5.463","5.133","14.994","22.257","12.226","18.507","-100.0","1.995","4.252","-100.0"
"2.0","4.8","145","0.0","30.232","12.96","11.473","2.429","5.076","5.404","5.041","15.158","22.695","12.292","18.982","-100.0","2.048","4.164","-100.0"
"2.0","4.8","146","0.0","29.919","13.141","11.21","2.379","5.204","5.482","5.135","14.968","22.257","12.232","18.819","-100.0","1.929","4.135","-100.0"
"2.0","4.8","147","0.0","30.382","13.179","11.503","2.47","5.045","5.463","5.098","15.072","21.795","12.345","18.982","-100.0","2.073","4.105","-100.0"
"2.0","4.8","148","0.0","30.069","13.132","11.386","2.383","4.926","5.404","5.116","15.079","-100.0","12.308","18.669","-100.0","1.891","4.154","-100.0"
"2.0","4.8","149","0.0","31.007","13.079","11.503","2.308","5.164","5.385","5.217","14.905","22.807","12.295","19.291","-100.0","2.026","3.871","-100.0"
"2.0","4.8","150","1.0","29.132","13.369","12.294","2.264","3.601","4.994","5.651","13.789","24.335","11.864","17.569","-100.0","2.076","2.89","-100.0"
