batch,x,y,z,brand,model,angle,sampleNumber,30:23:03:87:17:80#1,30:23:03:87:17:81#1,30:23:03:87:17:82#1,30:23:03:87:17:98#1,30:23:03:87:17:99#1,30:23:03:87:17:9a#1,30:23:03:87:19:6c#1,30:23:03:87:19:6d#1,30:23:03:87:19:6e#1,36:23:03:87:17:80#1,36:23:03:87:17:98#1,36:23:03:87:19:6c#1,58:cb:52:d7:b4:d9#1,58:cb:52:d7:b5:31#1,58:cb:52:d7:b5:5d#1,58:cb:52:d7:bb:61#1
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,13,-100,6.810000000000,6.186000000000,15.776000000000,1.566000000000,4.955000000000,26.944000000000,11.032000000000,13.705000000000,-100,-100,-100,6.158000000000,18.867000000000,16.686000000000,-1.832000000000
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,14,23.979000000000,6.847000000000,6.400000000000,16.366000000000,1.757000000000,4.799000000000,26.435000000000,11.079000000000,12.885000000000,-100,-100,-100,6.301000000000,18.948000000000,16.680000000000,-1.651000000000
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,15,24.448000000000,6.751000000000,6.264000000000,15.888000000000,1.566000000000,5.092000000000,27.026000000000,11.266000000000,13.334000000000,-100,-100,-100,6.101000000000,18.826000000000,16.758000000000,-1.538000000000
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,16,-100,6.888000000000,6.420000000000,16.010000000000,1.529000000000,4.877000000000,26.323000000000,10.907000000000,12.299000000000,-100,-100,-100,6.176000000000,18.789000000000,16.686000000000,-1.829000000000
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,17,24.594000000000,6.798000000000,6.264000000000,16.132000000000,1.601000000000,4.896000000000,26.007000000000,11.041000000000,13.314000000000,-100,-100,-100,5.845000000000,18.864000000000,16.751000000000,-1.666000000000
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,18,24.673000000000,6.848000000000,6.185000000000,15.898000000000,1.648000000000,4.935000000000,26.670000000000,11.188000000000,12.865000000000,-100,-100,-100,5.898000000000,18.864000000000,16.761000000000,-1.748000000000
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,19,24.213000000000,6.766000000000,6.147000000000,-100,1.491000000000,4.701000000000,-100,10.944000000000,13.764000000000,-100,-100,-100,5.829000000000,18.829000000000,16.789000000000,-1.654000000000
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,20,23.670000000000,6.841000000000,6.303000000000,16.366000000000,1.682000000000,4.994000000000,26.323000000000,11.107000000000,13.725000000000,-100,-100,-100,5.967000000000,18.901000000000,16.792000000000,-1.788000000000
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,21,24.294000000000,6.769000000000,6.244000000000,16.479000000000,1.526000000000,4.584000000000,26.557000000000,11.129000000000,13.627000000000,23.670000000000,-100,-100,5.939000000000,18.901000000000,16.758000000000,-1.748000000000
0af2ffd75dc5922e081035a7ef606d15,0.0000,19.2000,0.0000,google,Pixel 3a,0.00,22,-100,6.769000000000,6.205000000000,-100,1.479000000000,4.877000000000,26.482000000000,10.857000000000,12.982000000000,-100,-100,-100,5.698000000000,18.829000000000,16.686000000000,-1.638000000000
